,run,score,decision,acrobatie
8672,3,12,"[1, 1, 1, 2, 5, 2]",False
8673,5,17,"[1, 2, 3, 3, 4, 4]",False
8674,4,31,"[6, 5, 6, 6, 3, 5]",False
8675,4,33,"[6, 5, 6, 6, 5, 5]",False
8676,5,17,"[1, 1, 3, 3, 6, 3]",False
8677,5,13,"[1, 2, 1, 3, 2, 4]",False
8678,4,8,"[1, 1, 2, 1, 2, 1]",False
8679,5,15,"[1, 2, 2, 1, 6, 3]",False
8680,3,30,"[6, 6, 5, 5, 6, 2]",False
8681,1,32,"[6, 6, 6, 6, 5, 3]",False
8682,3,26,"[6, 6, 6, 5, 2, 1]",False
8683,5,33,"[6, 6, 6, 6, 3, 6]",False
8684,5,15,"[1, 1, 2, 2, 4, 5]",False
8685,4,11,"[1, 1, 1, 2, 3, 3]",False
8686,4,10,"[1, 1, 2, 1, 2, 3]",False
8687,1,31,"[6, 6, 5, 5, 5, 4]",False
8688,5,30,"[6, 6, 6, 5, 3, 4]",False
8689,5,12,"[1, 2, 1, 2, 1, 5]",False
8690,3,12,"[1, 1, 2, 2, 1, 5]",False
8691,3,8,"[1, 2, 2, 1, 1, 1]",False
8692,3,32,"[6, 6, 6, 6, 5, 3]",False
8693,5,30,"[5, 6, 6, 5, 4, 4]",False
8694,6,29,"[5, 6, 5, 5, 6, 2]",False
8695,4,24,"[6, 6, 5, 4, 2, 1]",False
8696,5,32,"[5, 6, 6, 6, 6, 3]",False
8697,5,29,"[6, 5, 5, 6, 5, 2]",False
8698,5,10,"[1, 2, 4, 1, 1, 1]",False
8699,4,28,"[6, 6, 6, 4, 4, 2]",False
8700,1,9,"[1, 1, 1, 1, 1, 4]",False
8701,6,17,"[2, 2, 2, 2, 3, 6]",False
8702,4,31,"[6, 6, 5, 2, 6, 6]",False
8703,6,16,"[2, 1, 3, 1, 3, 6]",False
8704,3,29,"[6, 5, 5, 6, 6, 1]",False
8705,5,14,"[1, 2, 2, 1, 2, 6]",False
8706,5,30,"[6, 5, 6, 6, 4, 3]",False
8707,5,15,"[1, 2, 2, 2, 3, 5]",False
