,run,score,decision,acrobatie
9164,4,32,"[6, 6, 6, 6, 6, 2]",False
9165,5,30,"[6, 4, 4, 6, 6, 4]",False
9166,5,9,"[1, 1, 1, 2, 3, 1]",False
9167,5,31,"[6, 6, 5, 4, 5, 5]",False
9168,4,15,"[1, 1, 1, 3, 4, 5]",False
9169,5,25,"[6, 6, 4, 4, 4, 1]",False
9170,5,12,"[1, 1, 2, 3, 1, 4]",False
9171,5,17,"[1, 1, 4, 3, 2, 6]",False
9172,6,30,"[5, 6, 5, 3, 5, 6]",False
9173,5,31,"[5, 5, 6, 6, 5, 4]",False
9174,6,12,"[1, 1, 1, 3, 1, 5]",False
9175,4,30,"[6, 6, 6, 6, 4, 2]",False
9176,4,16,"[1, 1, 1, 5, 4, 4]",False
9177,4,33,"[6, 6, 6, 6, 4, 5]",False
9178,5,31,"[6, 6, 5, 5, 4, 5]",False
9179,5,10,"[1, 1, 2, 4, 1, 1]",False
9180,6,30,"[6, 5, 6, 2, 6, 5]",False
9181,4,32,"[6, 6, 6, 6, 2, 6]",False
9182,6,11,"[1, 1, 1, 1, 5, 2]",False
9183,6,19,"[1, 3, 2, 5, 2, 6]",False
9184,5,29,"[6, 6, 4, 6, 2, 5]",False
9185,5,12,"[1, 1, 1, 2, 4, 3]",False
9186,5,32,"[6, 4, 6, 6, 4, 6]",False
9187,3,9,"[1, 1, 1, 1, 3, 2]",False
9188,3,33,"[6, 6, 6, 6, 4, 5]",False
9189,5,18,"[1, 1, 2, 4, 4, 6]",False
9190,5,15,"[1, 1, 1, 2, 4, 6]",False
9191,3,33,"[6, 6, 6, 6, 4, 5]",False
9192,5,27,"[6, 6, 6, 4, 3, 2]",False
9193,5,30,"[6, 6, 6, 4, 4, 4]",False
9194,5,13,"[1, 1, 1, 2, 4, 4]",False
9195,4,34,"[6, 5, 6, 6, 6, 5]",False
9196,3,31,"[6, 6, 6, 6, 6, 1]",False
9197,6,18,"[1, 2, 2, 2, 5, 6]",False
9198,5,9,"[1, 2, 1, 1, 3, 1]",False
9199,4,30,"[6, 6, 6, 6, 3, 3]",False
9200,5,8,"[1, 1, 2, 1, 1, 2]",False
9201,5,27,"[6, 5, 6, 6, 2, 2]",False
9202,6,11,"[1, 1, 1, 1, 4, 3]",False
9203,3,12,"[1, 1, 1, 1, 4, 4]",False
9204,5,32,"[6, 6, 6, 5, 4, 5]",False
9205,5,28,"[6, 6, 4, 4, 4, 4]",False
9206,5,11,"[1, 1, 1, 4, 1, 3]",False
9207,5,13,"[1, 1, 4, 1, 1, 5]",False
9208,4,10,"[1, 1, 1, 1, 3, 3]",False
9209,5,10,"[2, 1, 1, 1, 1, 4]",False
9210,6,13,"[1, 3, 1, 2, 1, 5]",False
9211,6,27,"[5, 5, 6, 4, 1, 6]",False
9212,6,9,"[1, 1, 2, 2, 1, 2]",False
9213,5,10,"[1, 1, 4, 1, 1, 2]",False
9214,5,10,"[1, 1, 2, 3, 1, 2]",False
9215,5,31,"[5, 6, 6, 4, 6, 4]",False
9216,5,24,"[6, 6, 4, 5, 2, 1]",False
9217,5,33,"[6, 6, 5, 6, 4, 6]",False
9218,5,16,"[1, 1, 1, 4, 4, 5]",False
9219,6,28,"[6, 5, 5, 6, 4, 2]",False
9220,5,10,"[1, 1, 2, 1, 4, 1]",False
9221,4,9,"[1, 1, 4, 1, 1, 1]",False
9222,4,30,"[6, 6, 6, 4, 6, 2]",False
9223,6,14,"[1, 1, 4, 1, 1, 6]",False
9224,4,17,"[1, 1, 1, 5, 3, 6]",False
9225,6,30,"[6, 6, 5, 6, 6, 1]",False
9226,6,10,"[1, 4, 1, 2, 1, 1]",False
9227,5,28,"[6, 6, 3, 6, 5, 2]",False
9228,5,34,"[6, 6, 5, 6, 6, 5]",False
